,単元,問題文,選択肢1,選択肢2,選択肢3,選択肢4,解答,解説
46,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
階層ありのクラスタリングには、（ア）がある。",ウォード法,k-means法,勾配降下法,k近傍法,1,"選択肢1が正解です。
ウォード法とは、クラスター分析で使用される手法の1つで、最も距離が近い2つのクラスタを結合し、1つのクラスタにまとめるという処理を繰り返し行う手法です。また、途中経過を樹形図（デンドログラム）で表すことができます。

選択肢2：k-means法とは、教師なし学習の1種で、重心を活用し、データをあらかじめ設定したクラスタの数（k個）に分類する手法のことです。
選択肢3：勾配降下法とは、勾配が最小となるパラメータの組み合わせを見つけ出すためのアルゴリズムのことをいいます。基本的に、繰り返し計算を行い、最適なパラメータの組み合わせを見つけていくため、時間がかかります。
選択肢4：k近傍法とは、分類に使われる手法の1つで、未知のデータが与えられたときに近くにあるデータをk個取得し、多数決でデータが所属するクラスを分類していく手法のことです。"
47,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
相関関係のある変数をまとめてより少ない変数に要約する分析手法を主成分分析という。また、まとめられた少ない変数を（ア）という。データを要約するメリットは、（イ）である。",潜在変数,重変数,要約成分,主成分,4,"選択肢4が正解です。
主成分とは、主成分分析において、まとめられた少ない変数のことです。

選択肢1：潜在変数とは、統計学において直接観測されておらず、他の変数から推定される変数のことです。
選択肢2：重変数という用語はありません。
選択肢3：要約成分という用語はありません。"
48,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
相関関係のある変数をまとめてより少ない変数に要約する分析手法を主成分分析という。また、まとめられた少ない変数を（ア）という。データを要約するメリットは、（イ）である。",モデルの精度を高めることができること,体系的に知識を構築することができること,計算量を減らすことができること,ニューラルネットワークの誤差を正確に計算できること,3,"選択肢3が正解です。
データを要約するメリットは、データを要約することで扱うべき変数が減るため、計算量を減らすことができることです。残りの選択肢は、データを要約して得られるメリットではありません。"
49,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
大量のデータをもとにデータの関係性を見つけ出す手法のことを（ア）という。",アソシエーション分析,照応解析,フーリエ解析,線形回帰分析,1,"選択肢1が正解です。
アソシエーション分析とは、教師なし学習の1つで、大量のデータをもとにデータの関係性を見つけ出す手法のことです。

選択肢2：照応解析とは、代名詞の指示対象を推定したり、省略された名詞を推定したりすることです。
選択肢3：フーリエ解析とは、フーリエ級数展開やフーリエ変換などを活用して、複雑な関数や現象を三角関数に分解して簡単に記述する方法・考え方のことです。
選択肢4：線形回帰分析とは、求めたい変数を1つ以上の変数を使って予測する手法のことです。また、求めたい変数（結果となる変数）を目的変数、説明するための変数（原因となる変数）を説明変数と言います。"
50,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
ラッソ回帰とリッジ回帰を組み合わせたものを（ア）という。",DenseNet,Elastic Net,PSPNet,EfficientNet,2,"選択肢2が正解です。
Elastic Netとは、線形回帰にL1正則化とL2正則化を組み合わせたものです。

選択肢1：DenseNetとは、ResNetの派生モデルの1つで、スキップコネクション（スキップ結合）を改良したモデルです。
選択肢3：PSPNetとは、セマンティックセグメンテーションの代表的な手法の1つで、エンコーダとデコーダの間にPyramid Pooling Moduleが設けられたモデルです。
選択肢4：EfficientNetとは、Googleが発表したもので、ネットワークの幅・深さ・解像度を1つの複合係数を使い、少ないパラメータ数で精度の高い処理を行うモデルのことです。また、転移学習に有用なモデルとして活用されています。"
51,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
協調フィルタリングは、（ア）で使われる手法の1つである。",スパムフィルタ,意味的類似度判定,レコメンデーションシステム,固有表現抽出,3,"選択肢3が正解です。
レコメンデーションシステムとは、ユーザーの興味があるものを学習し、興味がありそうな情報を提案するシステムのことです。

選択肢1：スパムフィルタとは、スパムメール（迷惑メール）であるかどうかを判断するアルゴリズムのことを言います。
選択肢2：意味的類似度判定とは、自然言語タスクの1つで、文章間の意味的な類似度を判定することです。
選択肢4：固有表現抽出とは、自然言語タスクの1つで、文章中から固有表現などを抽出し、あらかじめ定義した固有表現分類へ分類することです。"
52,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
ロジスティック回帰では、線形回帰からデータがあるクラスに属する確率の（ア）を求め、（ア）を（イ）の形に変形し、最終的にどのクラスにデータが属するかを予測している。",Q値,コサイン類似度,対数オッズ,偏相関係数,3,"選択肢3が正解です。
対数オッズとは、ある確率をpとしたとき、log（ p /（ 1 – p ））で求めることができる値のことです。また、logの底はネイピア数です。

選択肢1：Q値とは、行動価値関数から返ってくる値のことです。
選択肢2：コサイン類似度とは、テキスト間の関係性などを求めるときに使用する、ベクトルの類似度を表す指標のことです。
選択肢4：偏相関係数とは、別の因子による影響を取り除いた2変数間の相関係数のことをいいます。"
53,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
ロジスティック回帰では、線形回帰からデータがあるクラスに属する確率の（ア）を求め、（ア）を（イ）の形に変形し、最終的にどのクラスにデータが属するかを予測している。",恒等関数,シグモイド関数（ソフトマックス関数）,ステップ関数,カーネル関数,2,"選択肢2が正解です。
シグモイド関数とは、活性化関数の1種で、2値分類で使用される関数です。また、ソフトマックス関数とは、活性化関数の1種で、多クラス分類のときに使われる関数です。

選択肢1：恒等関数とは、活性化関数の1種で、回帰問題のときに使われる関数です。
選択肢3：ステップ関数とは、活性化関数の1種で、入力値が0未満なら出力値が0、入力値が0以上なら出力値が1になる関数です。
選択肢4：カーネル関数とは、サポートベクターマシン（SVM）において、次元を拡張させるときに使用される関数のことです。"
54,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
クラスタリングで使用されるモデルの1つで、文章などを複数のクラスタに分類していくモデルを（ア）という。（ア）の代表的な手法には、（イ）などがある。",トピックモデル,AISASモデル,隠れマルコフモデル（HMM）,ARIMAモデル,1,"選択肢1が正解です。
トピックモデルとは、クラスタリングで使用されるモデルの1つで、文章などを複数のクラスタに分類していくモデルのことです。

選択肢2：AISASモデルとは、消費者の購買行動をパターン化したものであるAIDMAモデルを現代に合うように変えたものです。Attention（注意）、Interest（興味）、Search（検索）、Action（行動）、Share（共有）の頭文字からAISASと名付けられました。
選択肢3：隠れマルコフモデル（HMM）は、音声認識でよく使われていたモデルで、確率モデルの1つです。
選択肢4：ARIMAモデルとは、いくつかの差分を取った時系列データにARMAモデルを適用したモデルのことです。"
55,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
クラスタリングで使用されるモデルの1つで、文章などを複数のクラスタに分類していくモデルを（ア）という。（ア）の代表的な手法には、（イ）などがある。",ブートストラップサンプリング,潜在的ディリクレ配分法,フーリエ解析,ASPP,2,"選択肢2が正解です。
潜在的ディリクレ配分法（LDA）とは、トピックモデルの代表的な手法の1つです。

選択肢1：ブートストラップサンプリングとは、重複を許して無作為に一部のデータを抽出することです。
選択肢3：フーリエ解析とは、フーリエ級数展開やフーリエ変換などを活用して、複雑な関数や現象を三角関数に分解して簡単に記述する方法・考え方のことです。
選択肢4：ASPPとは、複数の解像度の特徴を捉える機構のことです。"
56,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
ニューラルネットワークにおいて、次の層に渡す値を調整する関数を（ア）という。",行動価値関数,状態価値関数,活性化関数,カーネル関数,3,"選択肢3が正解です。
活性化関数とは、ニューラルネットワークにおいて、複数のノードから値を受け取り、次の層に値を受け渡すときに、その値を調整する関数のことを言います。

選択肢1：行動価値関数とは、ある状態において行動した結果、将来的に得られる報酬の合計を返す関数のことです。
選択肢2：状態価値関数とは、ある状態において、将来的に得られる報酬の合計を返す関数のことです。
選択肢4：カーネル関数とは、サポートベクターマシン（SVM）において、次元を拡張させるときに使用される関数のことです。"
57,機械学習の具体的手法,方策勾配法の説明として、最も適切な選択肢を選択してください。,方策勾配法は価値ベースの手法である,慣性の考え方を取り入れ、前回の更新量を、現在の更新量に反映させ、学習の停滞を防ぐ手法,方策勾配法は行動の選択肢が多い場面で使用されることが多い,分類することが難しいデータを、次元を拡張させることで、分類しやすくさせる手法,3,"選択肢3が正解です。
方策ベースの手法である方策勾配法は、行動の選択肢が多い場面で使用されることが多いです。一方、価値ベースの手法は、計算量が多くなるため、行動の選択肢が多い場合は学習が思ったように進まないという特徴があります。

選択肢1：方策勾配法は「方策ベース」の手法です。そのため、「方策勾配法は価値ベースの手法である」は間違いです。
選択肢2：モーメンタム法の説明です。モーメンタム法とは、鞍点問題に対応するために考えられた手法で、慣性の考え方を取り入れ、前回の更新量を、現在の更新量に反映させ、学習の停滞を防ぐ手法のことです。
選択肢4：カーネル法の説明です。カーネル法とは、分類することが難しいデータを、次元を拡張させることで、分類しやすくさせる手法のことです。次元を拡張させる関数をカーネル関数と言います。また、カーネルトリックと呼ばれるテクニックを用いることで、一般的に高次元データの計算を簡単にすることができます。"
58,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
ロジスティック回帰では、一般にデータを2種類に分類したいときは（ア）を使用し、3種類以上に分類したいときは（イ）を使用する。また、データを複数の種類に分類することを（ウ）という。",ソフトマックス関数,ReLU関数,行動価値関数,シグモイド関数,4,"選択肢4が正解です。
シグモイド関数とは、活性化関数の1種で、2値分類で使用される関数です

選択肢1：ソフトマックス関数とは、活性化関数の1種で、多クラス分類のときに使われる関数になっています。
選択肢2：ReLu関数とは、活性化関数の1種で、入力値が0以下のときは0、入力値が0を超えるときは入力値をそのまま出力する関数のことです。ReLu関数を使用することで、勾配が消失しにくくなるという特徴があります。
選択肢3：行動価値関数とは、ある状態において行動した結果、将来的に得られる報酬の合計を返す関数のことです。"
59,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
ロジスティック回帰では、一般にデータを2種類に分類したいときは（ア）を使用し、3種類以上に分類したいときは（イ）を使用する。また、データを複数の種類に分類することを（ウ）という。",ソフトマックス関数,ReLU関数,行動価値関数,シグモイド関数,1,"選択肢1が正解です。
ソフトマックス関数とは、活性化関数の1種で、多クラス分類のときに使われる関数になっています。

選択肢2：ReLu関数とは、活性化関数の1種で、入力値が0以下のときは0、入力値が0を超えるときは入力値をそのまま出力する関数のことです。ReLu関数を使用することで、勾配が消失しにくくなるという特徴があります。
選択肢3：行動価値関数とは、ある状態において行動した結果、将来的に得られる報酬の合計を返す関数のことです。
選択肢4：シグモイド関数とは、活性化関数の1種で、2値分類で使用される関数です"
60,機械学習の具体的手法,"（ウ）に最もよく当てはまる選択肢を選んでください。
ロジスティック回帰では、一般にデータを2種類に分類したいときは（ア）を使用し、3種類以上に分類したいときは（イ）を使用する。また、データを複数の種類に分類することを（ウ）という。",クラスタリング,クラス分類,多クラス分類,多クラスリング,3,"選択肢3が正解です。
多クラス分類とは、データを3種類以上のクラスに分類することをいいます。

選択肢1：クラスタリング（クラスタ分析）とは、データを類似度に基づいてグループ（クラスタ）に分けていく手法のことです。
選択肢2：クラス分類とは、データを決まったクラスに分類することを言います。クラス分類には、2クラス分類と多クラス分類があります。
選択肢4：多クラスリングという用語はありません。"
61,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
強化学習において、新しい情報を獲得するために行動を行うことを（ア）、既存情報を使って最適な行動を行うことを（イ）という。",活用,プランニング,推論,探索,4,"選択肢4が正解です。
探索とは、強化学習において新しい情報を獲得するために行動を行うことをいいます。

選択肢1：活用とは、強化学習において既存情報を使って最適な行動を行うことをいいます。
選択肢2：プランニングとは、探索などを活用してロボットの行動計画を作成することです。
選択肢3：推論とは、知っている情報から未知の事柄を予測することです。"
62,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
強化学習において、新しい情報を獲得するために行動を行うことを（ア）、既存情報を使って最適な行動を行うことを（イ）という。",活用,プランニング,推論,探索,1,"選択肢1が正解です。
活用とは、強化学習において既存情報を使って最適な行動を行うことをいいます。

選択肢2：プランニングとは、探索などを活用してロボットの行動計画を作成することです。
選択肢3：推論とは、知っている情報から未知の事柄を予測することです。
選択肢4：探索とは、強化学習において新しい情報を獲得するために行動を行うことをいいます。"
63,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
説明変数が目的変数をどの程度説明できているかを表す指標として決定係数がある。また、決定係数の求め方には、様々な方法がある。例えば、（ア）を2乗して決定係数を求める方法などがある。",相関係数,標準偏差,情報量,共分散,1,"選択肢1が正解です。
相関係数とは、2種類のデータの関係を表す値の1つで、共分散を2種類のデータの標準偏差で割って求めることができます。相関係数は−1〜1の値を取ります。

選択肢2：標準偏差とは、データの散らばり度合いを表す値の1つで、分散の平方根で求めることができます。
選択肢3：情報量とは、あるできごとが起きた際、それがどれほど起こりにくいかを表す尺度のことです。
選択肢4：共分散とは、2種類のデータの関係を表す値の1つで、2種類のデータの偏差同士の積の平均で求めることができます。"
64,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
多層パーセプトロンには、入力層、（ア）、出力層が存在する。多層パーセプトロンの重みは（イ）によって調整される。",S細胞層,C細胞層,可視層,隠れ層,4,"選択肢4が正解です。
隠れ層とは、入力層と出力層の間の層のことを言い、中間層などとも呼ばれています。

選択肢1：S細胞層とは、ネオコグニトロンを構成する層の1つで、画像の特徴を抽出する層のことです。
選択肢2：C細胞層とは、ネオコグニトロンを構成する層の1つで、位置ずれを許容する層のことです。
選択肢3：可視層とは、入力層と出力層がセットになったもので、オートエンコーダの層の1つです。"
65,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
多層パーセプトロンには、入力層、（ア）、出力層が存在する。多層パーセプトロンの重みは（イ）によって調整される。",方策,統計的推定,誤差逆伝播法,ボルツマンマシン,3,"選択肢3が正解です。
誤差逆伝播法とは、出力層から入力層にかけて重みを調整していく手法のことです。

選択肢1：方策とは、エージェントの行動基準のことを言います。方策には、ε-greedy方策やUCB方策などがあります。
選択肢2：統計的推定とは、標本データから母集団の特徴を推し量ることを言います。
選択肢4：ボルツマンマシンとは、可視層と隠れ層からなり、各層のユニットが全て結合されているネットワークのことを言います。"
66,機械学習の具体的手法,ブースティングの説明として、不適切な選択肢を選択してください。,効率の良い探索を行うために導入されている概念である,並列処理できないため学習に時間がかかってしまう,一般にバギングよりもモデルの精度が高い,バギングよりも過学習になりやすい,1,"選択肢1が正解です。
コストの説明です。コストとは、効率の良い探索を行うために導入されている概念で、コストが大きすぎる探索を省略することで、探索数の削減を行っています。

選択肢2：ブースティングの特徴です。ブースティングは、並列処理できないため学習に時間がかかってしまいます。
選択肢3：ブースティングの特徴です。ブースティングは、一般にバギングよりもモデルの精度が高いという特徴があります。
選択肢4：ブースティングの特徴です。ブースティングは、バギングよりも過学習になりやすいです。"
67,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
訓練データに対する予測と正解の誤差を（ア）、未知データに対する予測と正解の誤差を（イ）という。",許容誤差,汎化誤差,絶対誤差,訓練誤差,4,"選択肢4が正解です。
訓練誤差とは、訓練データに対する予測と正解の誤差のことを言います。

選択肢1：許容誤差とは、許容される誤差のことです。
選択肢2：汎化誤差とは、学習に使っていないデータに対する予測と正解の誤差のことを言います。
選択肢3：絶対誤差とは、真の値と測定値との差のことです。"
68,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
訓練データに対する予測と正解の誤差を（ア）、未知データに対する予測と正解の誤差を（イ）という。",許容誤差,汎化誤差,絶対誤差,訓練誤差,2,"選択肢2が正解です。
汎化誤差とは、学習に使っていないデータに対する予測と正解の誤差のことを言います。

選択肢1：許容誤差とは、許容される誤差のことです。
選択肢3：絶対誤差とは、真の値と測定値との差のことです。
選択肢4：訓練誤差とは、訓練データに対する予測と正解の誤差のことを言います。"
69,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
教師あり学習と教師なし学習では使用するデータに違いがある。一般に、教師あり学習では（ア）、教師なし学習では（イ）が用いられる。",正解ラベルのついたデータ,正解ラベルのないデータ,正解が明確に存在するデータ,正解が曖昧なデータ,1,"選択肢1が正解です。
教師あり学習では「正解ラベルのついたデータ」が使用されます。"
70,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
教師あり学習と教師なし学習では使用するデータに違いがある。一般に、教師あり学習では（ア）、教師なし学習では（イ）が用いられる。",正解ラベルのついたデータ,正解ラベルのないデータ,正解が明確に存在するデータ,正解が曖昧なデータ,2,"選択肢2が正解です。
教師なし学習では「正解ラベルのないデータ」が使用されます。"
71,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
各決定木の学習を行うために、無作為に一部の学習データを抽出することを（ア）という。",グリッドサーチ,ランダムサーチ,バンディットアルゴリズム,ブートストラップサンプリング,4,"選択肢4が正解です。
ブートストラップサンプリングとは、重複を許して無作為に一部のデータを抽出することです。

選択肢1：グリッドサーチとは、ハイパーパラメータの調整方法の1種で、あらかじめ用意した全てのパラメータの組み合わせで学習を行い、最適な組み合わせを採用する手法のことです。
選択肢2：ランダムサーチとは、ハイパーパラメータの調整方法の1種で、ランダムにパラメータを組み合わせ学習を行い、最適な組み合わせを採用する手法です。
選択肢3：バンディットアルゴリズムとは、バンディットアルゴリズムとは、強化学習分野の場合、活用と探索のバランスをどのように最適化するかを意味する用語です。"
72,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
教師なし学習には、データを類似度に基づいてグループに分けていく（ア）、データを要約する（イ）などがある。",分類問題,クラスタリング,次元削減（次元圧縮）,回帰問題,2,"選択肢2が正解です。
クラスタリング（クラスタ分析）とは、データを類似度に基づいてグループ（クラスタ）に分けていく手法のことです。

選択肢1：分類問題とは、データが属するクラス（離散値）を予測する問題のことを言います。迷惑メールかどうか、記事の文章からカテゴリーを予測するなどが分類問題の代表的な例になります。
選択肢3：次元削減（次元圧縮）とは、データの意味を保ったまま、データの特徴量（変数）を減らすことを言います。特徴量を減らすことで、計算量を減らすことが可能です。
選択肢4：回帰問題とは、データを活用して数値（連続値）を予測する問題のことを言います。気温から商品の売上や来店数を予測する、駅からの距離や床面積などから家賃を予測するなどが回帰問題の代表的な例になります。"
73,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
教師なし学習には、データを類似度に基づいてグループに分けていく（ア）、データを要約する（イ）などがある。",分類問題,クラスタリング,次元削減（次元圧縮）,回帰問題,3,"選択肢3が正解です。
次元削減（次元圧縮）とは、データの意味を保ったまま、データの特徴量（変数）を減らすことを言います。特徴量を減らすことで、計算量を減らすことが可能です。

選択肢1：分類問題とは、データが属するクラス（離散値）を予測する問題のことを言います。迷惑メールかどうか、記事の文章からカテゴリーを予測するなどが分類問題の代表的な例になります。
選択肢2：クラスタリング（クラスタ分析）とは、データを類似度に基づいてグループ（クラスタ）に分けていく手法のことです。
選択肢4：回帰問題とは、データを活用して数値（連続値）を予測する問題のことを言います。気温から商品の売上や来店数を予測する、駅からの距離や床面積などから家賃を予測するなどが回帰問題の代表的な例になります。"
74,機械学習の具体的手法,"（ア）と（イ）に最もよく当てはまる選択肢を選んでください。
間違いにも関わらず、正しいと判断してしまうことを（ア）といい、正しいにも関わらず、間違っていると判断してしまうことを（イ）という。",ア：第一種の過誤 、イ：第二種の過誤,ア：第三種の過誤、イ：第一種の過誤,ア：第二種の過誤、イ：第三種の過誤,ア：第二種の過誤、イ：第一種の過誤,1,"選択肢1が正解です。
間違いにも関わらず、正しいと判断してしまうことを（ア：第一種の過誤）といい、正しいにも関わらず、間違っていると判断してしまうことを（イ：第二種の過誤）といいます。以上から、選択肢1が正解になります。

第一種の過誤とは、間違いにも関わらず、正しいと判断してしまうことです。つまり、実際の値は「FALSE」にも関わらず、「TRUE」と予測してしまうことです。
第二種の過誤とは、正しいにも関わらず、間違っていると判断してしまうことです。つまり、実際の値は「TRUE」にも関わらず、「FALSE」と予測してしまうことです"
75,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
ベクトルの大きさのことを（ア）という。（ア）には（イ）や（ウ）などがある。（イ）はベクトルの要素の絶対値の総和で求めることができる。（ウ）はベクトルの要素の2乗和の平方根で求めることができる。",ノルム,ベクトル距離,マンハッタン距離,ユークリッド距離,1,"選択肢1が正解です。
ノルムとは、ベクトルの大きさのことです。

選択肢2：ベクトル距離という用語はありません。
選択肢3：マンハッタン距離とは、ベクトルの要素の絶対値の総和で求めることができるもので、幾何学における距離概念の1つです。
選択肢4：ユークリッド距離とは、ベクトルの要素の2乗和の平方根で求めることができるもので、幾何学における距離概念の1つです。"
76,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
ベクトルの大きさのことを（ア）という。（ア）には（イ）や（ウ）などがある。（イ）はベクトルの要素の絶対値の総和で求めることができる。（ウ）はベクトルの要素の2乗和の平方根で求めることができる。",ノルム,ベクトル距離,マンハッタン距離,ユークリッド距離,3,"選択肢3が正解です。
マンハッタン距離とは、ベクトルの要素の絶対値の総和で求めることができるもので、幾何学における距離概念の1つです。

選択肢1：ノルムとは、ベクトルの大きさのことです。
選択肢2：ベクトル距離という用語はありません。
選択肢4：ユークリッド距離とは、ベクトルの要素の2乗和の平方根で求めることができるもので、幾何学における距離概念の1つです。"
77,機械学習の具体的手法,"（ウ）に最もよく当てはまる選択肢を選んでください。
ベクトルの大きさのことを（ア）という。（ア）には（イ）や（ウ）などがある。（イ）はベクトルの要素の絶対値の総和で求めることができる。（ウ）はベクトルの要素の2乗和の平方根で求めることができる。",ノルム,ベクトル距離,マンハッタン距離,ユークリッド距離,4,"選択肢4が正解です。
ユークリッド距離とは、ベクトルの要素の2乗和の平方根で求めることができるもので、幾何学における距離概念の1つです。

選択肢1：ノルムとは、ベクトルの大きさのことです。
選択肢2：ベクトル距離という用語はありません。
選択肢3：マンハッタン距離とは、ベクトルの要素の絶対値の総和で求めることができるもので、幾何学における距離概念の1つです。"
78,機械学習の具体的手法,地域の人口、気温、イベントの有無などから店舗の売上を予測するとき、最も適切な選択肢を選択してください。,主成分分析（PCA）,単回帰分析,重回帰分析,サポートベクターマシン（SVM）,3,"選択肢3が正解です。
複数の説明変数（地域の人口、気温、イベントの有無など）から1つの目的変数（店舗の売上）を予測するため、重回帰分析が正解になります。重回帰分析とは、複数の説明変数で1つの目的変数を予測する分析手法のことを言います。

選択肢1：主成分分析（PCA）とは、相関関係のある変数をまとめてより少ない変数に要約する分析手法のことを言います。また、データを要約することを次元削減と言い、まとめられた変数を主成分と言います。
選択肢2：単回帰分析とは、1つの説明変数で1つの目的変数を予測する分析手法のことを言います。
選択肢4：サポートベクターマシン（SVM）とは、主に分類で使われるアルゴリズムの1つで、教師あり学習モデルの1つです。"
79,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
ROC曲線は、（ア）と（イ）の関係を表した曲線のことである。縦軸を（ア）、横軸を（イ）をとる。",偽陽性率,偽陰性率,真陽性率,真陰性率,3,"選択肢3が正解です。
ROC曲線は、（ア：真陽性率）と（イ：偽陽性率）の関係を表した曲線のことである。縦軸を（ア：真陽性率）、横軸を（イ：偽陽性率）をとる。以上から、（ア）は選択肢3の真陽性率です。真陽性率とは、「True」のものを正しく「True」と判断した割合のことです。

選択肢1：偽陽性率とは、「False」にも関わらず、「True」と判断した割合のことです。
選択肢2：偽陰性率とは、「True」にも関わらず、「False」と判断した割合のことです。
選択肢4：真陰性率とは、「False」のものを正しく「False」と判断した割合のことです。"
80,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
ROC曲線は、（ア）と（イ）の関係を表した曲線のことである。縦軸を（ア）、横軸を（イ）をとる。",偽陽性率,偽陰性率,真陽性率,真陰性率,1,"選択肢1が正解です。
ROC曲線は、（ア：真陽性率）と（イ：偽陽性率）の関係を表した曲線のことである。縦軸を（ア：真陽性率）、横軸を（イ：偽陽性率）をとる。以上から、（イ）は選択肢1の偽陽性率です。偽陽性率とは、「False」にも関わらず、「True」と判断した割合のことです。

選択肢2：偽陰性率とは、「True」にも関わらず、「False」と判断した割合のことです。
選択肢3：真陽性率とは、「True」のものを正しく「True」と判断した割合のことです。
選択肢4：真陰性率とは、「False」のものを正しく「False」と判断した割合のことです。"
81,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
決定木と勾配ブースティングを組み合わせた手法に（ア）がある。",REINFORCE,DENDRAL,NSP（Next Sentence Prediction）,XGBoost,4,"選択肢4が正解です。
XGBoostとは、アンサンブル学習の1つで、決定木と勾配ブースティングを組み合わせた手法です。

選択肢1：REINFORCEとは、アルファ碁などで使用されている方策ベースのアルゴリズムです。
選択肢2：DENDRALは、1960年代の人工知能に関するプロジェクトのことで、未知の有機化合物を分析し、有機化学の知識を使って特定する世界初のエキスパートシステムです。エキスパートシステムとは、特定の専門分野の知識を大量に取り込み、その知識をもとに専門家のように様々な推論・判断を行うシステムのことを言います。
選択肢3：NSP（Next Sentence Prediction）とは、2つの文章を入力し、連続した文章か推測するタスクのことで、BERTの事前学習で使われる手法です。"
82,ディープラーニングの概要,"（ア）に最もよく当てはまる選択肢を選んでください。
隠れ層に入力する値を、ミニバッチ単位で正規化する手法のことを（ア）という。（ア）は、（イ）が起きにくくなると言われている。",バッチ正規化,グルーピング正規化,クラスタ正規化,クラス正規化,1,"選択肢1が正解です。
バッチ正規化とは、隠れ層に入力する値を、ミニバッチ単位で正規化する手法のことを言います。バッチ正規化を行うことで、過学習が起きにくくなると言われています。

選択肢2：グルーピング正規化という用語はありません。
選択肢3：クラスタ正規化という用語はありません。
選択肢4：クラス正規化という用語はありません。"
83,ディープラーニングの概要,"（イ）に最もよく当てはまる選択肢を選んでください。
隠れ層に入力する値を、ミニバッチ単位で正規化する手法のことを（ア）という。（ア）は、（イ）が起きにくくなると言われている。",過学習,未学習,二重降下現象,勾配消失問題,1,"選択肢1が正解です。
過学習とは、訓練データに適応しすぎた結果、未知のデータに対する推測の精度が下がってしまうことをいいます。

選択肢2：未学習とは、学習不足により、訓練データに対してさえモデルの推測精度が低いという状態のことです。過度な過学習対策は、未学習になってしまう危険性があります。
選択肢3：二重降下現象とは、一定期間は汎化誤差が増加（モデル精度の悪化）するが、その後汎化誤差が減少（モデル精度の向上）していく現象のことを言います。そのため、どのようなタイミングで学習を止めるべきなのかは難しい問題の1つになっています。
選択肢4：勾配消失問題とは、誤差逆伝播法において、出力層から入力層に向けて勾配が緩やかになっていき、入力層付近では実質的に重みが調整できなくなり、学習が進まなくなってしまう問題のことをいいます。"
84,ディープラーニングの概要,活性化関数に関する説明として、最も適切な選択肢を選択してください。,どの関数を使ってもモデルの精度は変わらない,同一モデル内では異なる関数活性化関数を使用することはない,恒等関数は入力値と同じ値を出力するだけの関数なので活性化関数ではない,目的によって適切な関数が存在する,4,"選択肢4が正解です。
目的によって活性化関数を選ぶ必要があります。

選択肢1：使用する活性化関数によってモデルの精度（結果）は大きく変化します。
選択肢2：同一モデル内でも、異なる関数活性化関数が使用されます。例えば、中間層ではReLU関数、出力層ではソフトマックス関数が使用されるということもあります。
選択肢3：恒等関数も活性化関数の1つです。"
85,ディープラーニングの概要,"（ア）に最もよく当てはまる選択肢を選んでください。
勾配降下法には、（ア）や（イ）などがある。（ア）とは学習データ全体の誤差を求め、パラメータを更新していく手法のことであり、（イ）とはランダムに抜き出した学習データの誤差を求め、繰り返しパラメータを更新していく手法のことである。",統計的降下法,確率的勾配降下法,平均2乗降下法,最急降下法,4,"選択肢4が正解です。
最急降下法とは、勾配降下法の1つで、学習データ全体の誤差を求め、パラメータを更新していく手法のことです。

選択肢1：統計的降下法という用語はありません。
選択肢2：確率的勾配降下法とは、勾配降下法の1つで、ランダムに抜き出した学習データの誤差を求め、繰り返しパラメータを更新していく手法のことです。
選択肢3：平均2乗降下法という用語はありません。"
