,単元,問題文,選択肢1,選択肢2,選択肢3,選択肢4,解答,解説
54,機械学習の具体的手法,"（エ）に最もよく当てはまる選択肢を選んでください。
分類モデルの評価について、代表的な指標として（ア）、（イ）、（ウ）、（エ）がある。（ア）は、陽性と判断したデータのうち実際に陽性だった割合のことである。（イ）は、全データのうち正しく予測できた割合のことである。（ウ）は、適合率と再現率の調和平均のことである。（エ）は、陽性データの中で、正しく陽性と判断できた割合のことである。",正解率,適合率,再現率,F値,3,"選択肢3が正解です。
再現率とは、分類モデルの評価指標の1つで、陽性データの中で、正しく陽性と判断できた割合のことです。再現率は、正しく陽性と判断した数を実際の陽性の数で割ることを求めることができます。

選択肢1：正解率とは、分類モデルの評価指標の1つで、全データのうち正しく予測できた割合のことをいいます。正解率は、正しく予測した数を全データ数で割ることを求めることができます。
選択肢2：適合率とは、分類モデルの評価指標の1つで、陽性と判断したデータのうち実際に陽性だった割合のことです。適合率は、正しく陽性と判断した数を陽性と判断した陽性の数で割ることで求めることができます。
選択肢4：F値とは、適合率と再現率の調和平均のことです。F値は、「（ 2 × 適合率 × 再現率）÷（適合率＋再現率）」で求めることができます。"
55,機械学習の具体的手法,階層クラスター分析において、クラスタ間の距離を測定する方法は複数存在する。例えば、ウォード法や（ア）などがある。,最急降下法,k近傍法,群平均法,k-means法,3,"選択肢3が正解です。
群平均法とは、階層クラスター分析において、クラスタ間の距離を測定する手法のことです。

選択肢1：最急降下法とは、勾配降下法の1つで、学習データ全体の誤差を求め、パラメータを更新していく手法のことです。
選択肢2：k近傍法とは、分類に使われる手法の1つで、未知のデータが与えられたときに近くにあるデータをk個取得し、多数決でデータが所属するクラスを分類していく手法のことです。
選択肢4：k-means法とは、教師なし学習の1種で、重心を活用し、データをあらかじめ設定したクラスタの数（k個）に分類する手法のことです。"
56,機械学習の具体的手法,半教師あり学習に関する説明として、最も不適切な選択肢を選択してください。,正解ラベル付きのデータは必要でない,一般に半教師あり学習は教師あり学習よりもデータ収集・加工等のコストが低い,機械学習の手法の1つである,教師なし学習と教師あり学習を組み合わせた手法である,1,"選択肢1が正解です。
半教師あり学習では、学習のために正解ラベル付きのデータが必要です。また、正解ラベル付きのデータを少し集めることができれば、残りは正解ラベルが付いている必要はありません。

選択肢2：正しい説明です。一般に半教師あり学習は、大量のラベル付きデータを収集する必要がないため、教師あり学習よりも収集・加工等のコストは低いです。
選択肢3：正しい説明です。半教師あり学習は、機械学習の手法の1つです。
選択肢4：正しい説明です。半教師あり学習は、教師なし学習と教師あり学習を組み合わせた手法です。"
57,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
自己回帰モデルを多変量に拡張したモデルを（ア）という。",VARモデル,MAモデル,ARIMAモデル,AISASモデル,1,"選択肢1が正解です。
VARモデル（ベクトル自己回帰モデル）とは、自己回帰モデルを多変量に拡張したモデルのことを言います。

選択肢2：MAモデルとは、ある時刻の値を過去のデータの移動平均を用いて予測するモデルのことです。
選択肢3：ARIMAモデルとは、いくつかの差分を取った時系列データにARMAモデルを適用したモデルのことです。
選択肢4：AISASモデルとは、消費者の購買行動をパターン化したものであるAIDMAモデルを現代に合うように変えたものです。Attention（注意）、Interest（興味）、Search（検索）、Action（行動）、Share（共有）の頭文字からAISASと名付けられました。"
58,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
アンサンブル学習には、一部のデータを抽出し、モデルを直列的に学習させていく（ア）や複数のモデルを並列的に学習させていく（イ）などがある。",バギング,ターゲットネットワーク,ブースティング,アベレージプーリング（平均値プーリング）,3,"選択肢3が正解です。
ブースティングとは、アンサンブル学習の1つで、一部のデータを抽出し、モデルを直列的に学習させていく手法です。バギングと比較すると、精度が高くなりやすいという特徴はありますが、並列的に学習できないため時間がかかってしまうというデメリットがあります。

選択肢1：バギングとは、アンサンブル学習のアルゴリズムの1種で、一部のデータを抽出し、複数のモデルを並列的に学習させ、予測精度を向上させる手法のことを言います。
選択肢2：ターゲットネットワークとは、DQNにおいて学習の精度を高める方法の1つで、ターゲットになる過去のネットワークを教師のように見立てて学習する手法のことです。
選択肢4：アベレージプーリング（平均値プーリング）とは、区切られた各区間の平均値を抽出することを言います。"
59,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
アンサンブル学習には、一部のデータを抽出し、モデルを直列的に学習させていく（ア）や複数のモデルを並列的に学習させていく（イ）などがある。",バギング,ターゲットネットワーク,ブースティング,アベレージプーリング（平均値プーリング）,1,"選択肢1が正解です。
バギングとは、アンサンブル学習のアルゴリズムの1種で、一部のデータを抽出し、複数のモデルを並列的に学習させ、予測精度を向上させる手法のことを言います。

選択肢2：ターゲットネットワークとは、DQNにおいて学習の精度を高める方法の1つで、ターゲットになる過去のネットワークを教師のように見立てて学習する手法のことです。
選択肢3：ブースティングとは、アンサンブル学習の1つで、一部のデータを抽出し、モデルを直列的に学習させていく手法です。バギングと比較すると、精度が高くなりやすいという特徴はありますが、並列的に学習できないため時間がかかってしまうというデメリットがあります。
選択肢4：アベレージプーリング（平均値プーリング）とは、区切られた各区間の平均値を抽出することを言います。"
60,機械学習の具体的手法,教師あり学習の回帰問題に関する例として、最も適切な選択肢を選択してください。,顧客の購入情報をもとに分析を行った結果、顧客を5グループに分けることができた,気温、曜日などの情報から1日あたりのA店舗の売上を予測した,売上を予測する際に要素（説明変数）が多いため、予測精度が著しく低下しない範囲内で要素を要約した,顧客の商品購入履歴から、ある商品を購入するかどうかを予測する,2,"選択肢2が正解です。
様々な情報から1日あたりのA店舗の売上を予測したと書かれていることから、連続値を予測したことが分かります。データを活用して連続値を予測する問題を回帰問題と言います。

選択肢1：顧客を5つのグループに分けることができたと書かれていることから、クラスタリングの例だと分かります。クラスタリング（クラスタ分析）とは、データを類似度に基づいてグループ（クラスタ）に分けていく手法のことです。
選択肢3：予測精度が著しく低下しない範囲内で要素（説明変数）を要約すると書かれていることから、次元削減の例だと分かります。次元削減（次元圧縮）とは、データの意味を保ったまま、データの特徴量（変数）を減らすことを言います。特徴量を減らすことで、計算量を減らすことができます。
選択肢4：顧客の商品購入履歴に基づきある商品を購入するかどうかを予測することから、クラス（購入するかどうか）を予測する問題だということが分かります。クラスを予測する問題を分類問題といいます。"
61,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
正則化を行いすぎると（ア）になってしまう危険性があるので注意する必要がある。",過学習,未学習,アンサンブル学習,早期終了,2,"選択肢2が正解です。
未学習とは、学習不足により、訓練データに対してさえモデルの推測精度が低いという状態のことです。過度な過学習対策は、未学習になってしまう危険性があります。

選択肢1：過学習とは、訓練データに適応しすぎた結果、未知のデータに対する推測の精度が下がってしまうことをいいます。
選択肢3：アンサンブル学習とは、精度の高くないモデルを複数組み合わせて、精度の高い予測を行う手法のことです。
選択肢4：早期終了とは、過学習対策の1つで、汎化誤差が増加し始めたら学習を終了するという手法のことです。汎化誤差とは、学習に使っていないデータに対する予測と正解の誤差のことを言います。"
62,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
強化学習における価値反復法では、状態価値を（ア）で初期化し、状態価値を更新していく。",-1,0,1,10,2,"選択肢2が正解です。
強化学習における価値反復法では、状態価値を（ア：0 ）で初期化し、状態価値を更新していきます。よって、選択肢2が正解です。"
63,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
重要度の低い説明変数（重み）を取り除くことを目的とした手法で、重要度の低いパラメータを0にし、重要度の高いパラメータを残す処理を（ア）、パラメータ（重み）が大きくなりすぎないように、パラメータ（重み）の大きさに応じて0に近づけ、モデルを滑らかにすることを目的とした手法を（イ）、0では無いパラメータの数で正則化する方法を（ウ）という。",L0正規化,L0正則化,L1正則化,L2正則化,3,"選択肢3が正解です。
L1正則化とは、重要度の低い説明変数（重み）を取り除くことを目的とした手法で、重要度の低いパラメータを0にし、重要度の高いパラメータを残す処理を行います

選択肢1：L0正規化という用語はありません。
選択肢2：L0正則化とは、0では無いパラメータの数で正則化することであり、計算コストは高いというデメリットがあります。
選択肢4：L2正則化とは、パラメータ（重み）が大きくなりすぎないように、パラメータ（重み）の大きさに応じて0に近づけ、モデルを滑らかにすることを目的とした手法です。"
64,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
重要度の低い説明変数（重み）を取り除くことを目的とした手法で、重要度の低いパラメータを0にし、重要度の高いパラメータを残す処理を（ア）、パラメータ（重み）が大きくなりすぎないように、パラメータ（重み）の大きさに応じて0に近づけ、モデルを滑らかにすることを目的とした手法を（イ）、0では無いパラメータの数で正則化する方法を（ウ）という。",L0正規化,L0正則化,L1正則化,L2正則化,4,"選択肢4が正解です。
L2正則化とは、パラメータ（重み）が大きくなりすぎないように、パラメータ（重み）の大きさに応じて0に近づけ、モデルを滑らかにすることを目的とした手法です。

選択肢1：L0正規化という用語はありません。
選択肢2：L0正則化とは、0では無いパラメータの数で正則化することであり、計算コストは高いというデメリットがあります。
選択肢3：L1正則化とは、重要度の低い説明変数（重み）を取り除くことを目的とした手法で、重要度の低いパラメータを0にし、重要度の高いパラメータを残す処理を行います。"
65,機械学習の具体的手法,"（ウ）に最もよく当てはまる選択肢を選んでください。
重要度の低い説明変数（重み）を取り除くことを目的とした手法で、重要度の低いパラメータを0にし、重要度の高いパラメータを残す処理を（ア）、パラメータ（重み）が大きくなりすぎないように、パラメータ（重み）の大きさに応じて0に近づけ、モデルを滑らかにすることを目的とした手法を（イ）、0では無いパラメータの数で正則化する方法を（ウ）という。",L0正規化,L0正則化,L1正則化,L2正則化,2,"選択肢2が正解です。
L0正則化とは、0では無いパラメータの数で正則化することであり、計算コストは高いというデメリットがあります。

選択肢1：L0正規化という用語はありません。
選択肢3：L1正則化とは、重要度の低い説明変数（重み）を取り除くことを目的とした手法で、重要度の低いパラメータを0にし、重要度の高いパラメータを残す処理を行います
選択肢4：L2正則化とは、パラメータ（重み）が大きくなりすぎないように、パラメータ（重み）の大きさに応じて0に近づけ、モデルを滑らかにすることを目的とした手法です。"
66,機械学習の具体的手法,回帰モデルの精度の評価指標に関する説明として、最も不適切な選択肢を選択してください。,RMSEは大きな誤差を許容したくない場合に使用することが多い,MAEはRMSEに比べて外れ値から大きな影響を受けてしまう,MSEは単位が2乗になってしまうという特徴がある,決定係数は寄与率と呼ばれることもある,2,"選択肢2が正解です。
「RMSE」は「MAE」に比べて外れ値から大きな影響を受けてしまうという特徴があります。その理由として、RMSEを求めるために、誤差を2乗する必要があるからです。

選択肢1：正しい説明です。RMSEは大きな誤差を許容したくない場合に使用することが多いです。
選択肢3：正しい説明です。MSEは単位が2乗になってしまうという特徴があります。
選択肢4：正しい説明です。決定係数は寄与率とも呼ばれます。"
67,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
k近傍法では、k=（ア）のとき、外れ値の影響を受けてしまい、予測精度が低下してしまう。",1,3,5,10,1,"選択肢1が正解です。
k近傍法では、「k=1」のとき、外れ値の影響を受けてしまい、予測精度が低下してしまいます。一方で、kの値が大きければ、外れ値の影響を受ける確率は下がります。"
68,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
シグモイド関数は、入力値を（ア）の数値に変換して出力する関数であり、ロジスティック回帰などで使用されている関数の1つである。データを利用しやすくするために、ルールに基づき、データを変形させることを（イ）という。",−1以上1以下,0以上,0以上1以下,1以下,3,"選択肢3が正解です。
シグモイド関数は、入力値を（ア：0以上1以下）の数値に変換して出力する関数です。以上から選択肢が答えになります。"
69,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
シグモイド関数は、入力値を（ア）の数値に変換して出力する関数であり、ロジスティック回帰などで使用されている関数の1つである。データを利用しやすくするために、ルールに基づき、データを変形させることを（イ）という。",正則化,正規化,標準化,白色化,2,"選択肢2が正解です。
正規化とは、データを利用しやすくするために、ルールに基づき、データを変形させることを言います。例えば、各特徴量を最大値で割って、各特徴量が0〜1の値になるように変形させる方法などがあります。

選択肢1：正則化とは、過学習を防ぐための手法の1つで、パラメータ（重み）に制限をかけることで、複雑になりすぎたモデルをシンプルなモデルにしていくことです。
選択肢3：標準化とは、特徴量の平均を0、分散が1になるように変換することです。特徴量は標準正規分布に従うようになります。
選択肢4：白色化とは、各特徴量を無相関化し、平均が0、分散が1になるように変換すること（標準化）です。"
70,機械学習の具体的手法,k近傍法の特徴の説明として、正しい選択肢を選択してください。,クラスごとのデータ量に偏りがある場合、性能が低くなる可能性がある,2クラス分類はできるが、多クラス分類はできない,特徴量ごとのスケールが異なっていても、寄与率に差はでない,kの値が大きければ大きいほど、多数決の精度が上がるため良いとされている,1,"選択肢1が正解です。
クラスごとのデータ量に偏りがある場合、性能が低くなる可能性があります。例えば、クラスAのデータ量とクラスBのデータ量が1：9ならば、未知のデータはクラスBに属すると予測される確率が高くなってしまいます。

選択肢2：k近傍法は、多クラス分類も行うことができます。
選択肢3：特徴量ごとのスケールが異なっていると、寄与率に差が発生してしまい予測の精度は悪くなってしまいます。そのため、事前に標準化を行いデータのスケールが一定になるように調整する必要があります。
選択肢4：kの値が大きければ大きいほど、予測の精度は悪くなってしまいます。"
71,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
単純パーセプトロンは（ア）と（イ）からなるニューラルネットワークである。（ア）は入力を受け取る層で、（イ）は値を出力する層である。また、一般にニューラルネットワークでは、モデルの自由度を上げるために（ウ）が使用されている。",入力層,可視層,隠れ層,出力層,1,"選択肢1が正解です。
入力層とは、ニューラルネットワークにおいて、情報を受け取る層のことを言います。

選択肢2：可視層とは、入力層と出力層がセットになったもので、オートエンコーダの層の1つです。
選択肢3：隠れ層とは、入力層と出力層の間の層のことを言い、中間層などとも呼ばれています。
選択肢4：出力層とは、ニューラルネットワークにおいて、値を出力する層のことを言います。"
72,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
単純パーセプトロンは（ア）と（イ）からなるニューラルネットワークである。（ア）は入力を受け取る層で、（イ）は値を出力する層である。また、一般にニューラルネットワークでは、モデルの自由度を上げるために（ウ）が使用されている。",入力層,可視層,隠れ層,出力層,4,"選択肢4が正解です。
出力層とは、ニューラルネットワークにおいて、値を出力する層のことを言います。

選択肢1：入力層とは、ニューラルネットワークにおいて、情報を受け取る層のことを言います。
選択肢2：可視層とは、入力層と出力層がセットになったもので、オートエンコーダの層の1つです。
選択肢3：隠れ層とは、入力層と出力層の間の層のことを言い、中間層などとも呼ばれています。"
73,機械学習の具体的手法,"（ウ）に最もよく当てはまる選択肢を選んでください。
単純パーセプトロンは（ア）と（イ）からなるニューラルネットワークである。（ア）は入力を受け取る層で、（イ）は値を出力する層である。また、一般にニューラルネットワークでは、モデルの自由度を上げるために（ウ）が使用されている。",マージン,バイアス,アノテーション,コーパス,2,"選択肢2が正解です。
バイアスとは、ニューラルネットワークにおいてモデルの自由度を上げるために使用される数値のことです。

選択肢1：マージンとは、サポートベクターマシン（SVM）における分類する線とデータの距離のことです。
選択肢3：アノテーションとは、データに対してタグやメタデータなどを付与することをいいます。また、作業は複数人で行うことが多いため、各作業者によってバラツキが出ないようにマニュアルなどを制定することが大切です。
選択肢4：コーパスとは、自然言語の文章を構造化し、まとめたもので、対訳データとも言われています"
74,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
各データが1つのクラスタに所属するようにクラスタリングを行うことを（ア）という。一方、各データが1つ以上のクラスタに所属することを許すクラスタリングを（イ）という。",ハードクラスタリング,階層クラスタリング,ソフトクラスタリング,非階層クラスタリング,1,"選択肢1が正解です。
ハードクラスタリングとは、各データが1つのクラスタに所属するようにクラスタリングを行うことです。

選択肢2：階層クラスタリングとは、データ間の類似度から、最も似たデータ同士から順にグループにしていく手法のことです。
選択肢3：ソフトクラスタリングとは、各データが1つ以上のクラスタに所属することを許すクラスタリングのことです。
選択肢4：非階層クラスタリングとは、階層を作らずにグループに分けていく手法のことです。"
75,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
各データが1つのクラスタに所属するようにクラスタリングを行うことを（ア）という。一方、各データが1つ以上のクラスタに所属することを許すクラスタリングを（イ）という。",ハードクラスタリング,階層クラスタリング,ソフトクラスタリング,非階層クラスタリング,3,"選択肢3が正解です。
ソフトクラスタリングとは、各データが1つ以上のクラスタに所属することを許すクラスタリングのことです。

選択肢1：ハードクラスタリングとは、各データが1つのクラスタに所属するようにクラスタリングを行うことです。
選択肢2：階層クラスタリングとは、データ間の類似度から、最も似たデータ同士から順にグループにしていく手法のことです。
選択肢4：非階層クラスタリングとは、階層を作らずにグループに分けていく手法のことです。"
76,機械学習の具体的手法,過学習が起きやすい特徴の説明として、最も適切な選択肢を選択してください。,モデルの表現力が高い,モデルの表現力が低い,テストデータが多い,テストデータが少ない,1,"選択肢1が正解です。
モデルの表現力が高いと、過学習が起きやすいという特徴があります。また、テストデータの量と過学習の起きやすさには関係がありません。"
77,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
L1ノルムのことを（ア）といい、L2ノルムのことを（イ）という。",ベイズ距離,フーリエ距離,マンハッタン距離,ユークリッド距離,3,"選択肢3が正解です。
マンハッタン距離とは、ベクトルの要素の絶対値の総和で求めることができるもので、幾何学における距離概念の1つです。

選択肢1：ベイズ距離という用語はありません。
選択肢2：フーリエ距離という用語はありません。
選択肢4：ユークリッド距離とは、ベクトルの要素の2乗和の平方根で求めることができるもので、幾何学における距離概念の1つです。"
78,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
L1ノルムのことを（ア）といい、L2ノルムのことを（イ）という。",ベイズ距離,フーリエ距離,マンハッタン距離,ユークリッド距離,4,"選択肢4が正解です。
ユークリッド距離とは、ベクトルの要素の2乗和の平方根で求めることができるもので、幾何学における距離概念の1つです。

選択肢1：ベイズ距離という用語はありません。
選択肢2：フーリエ距離という用語はありません。
選択肢3：マンハッタン距離とは、ベクトルの要素の絶対値の総和で求めることができるもので、幾何学における距離概念の1つです。"
79,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
求めたい変数を1つ以上の変数を使って予測する手法を線形回帰分析という。線形回帰において、原因となる変数を（ア）、結果となる変数を（イ）という。また、回帰分析のうち（ア）が1つの分析を（ウ）、（ア）が複数の分析を（エ）という。",潜在変数,説明変数,スラック変数,目的変数,2,"選択肢2が正解です。
説明変数とは、目的変数を説明するための変数（何かの原因になっている変数）のことを言います。

選択肢1：潜在変数とは、統計学において直接観測されておらず、他の変数から推定される変数のことです。
選択肢3：スラック変数とは、ソフトマージンにおいて、誤分類をどの程度許容するのか調整する変数のことです。
選択肢4：目的変数とは、予測したい変数（結果となる変数）のことを言います。"
80,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
求めたい変数を1つ以上の変数を使って予測する手法を線形回帰分析という。線形回帰において、原因となる変数を（ア）、結果となる変数を（イ）という。また、回帰分析のうち（ア）が1つの分析を（ウ）、（ア）が複数の分析を（エ）という。",潜在変数,説明変数,スラック変数,目的変数,4,"選択肢4が正解です。
目的変数とは、予測したい変数（結果となる変数）のことを言います。

選択肢1：潜在変数とは、統計学において直接観測されておらず、他の変数から推定される変数のことです。
選択肢2：説明変数とは、目的変数を説明するための変数（何かの原因になっている変数）のことを言います。
選択肢3：スラック変数とは、ソフトマージンにおいて、誤分類をどの程度許容するのか調整する変数のことです。"
81,機械学習の具体的手法,"（ウ）に最もよく当てはまる選択肢を選んでください。
求めたい変数を1つ以上の変数を使って予測する手法を線形回帰分析という。線形回帰において、原因となる変数を（ア）、結果となる変数を（イ）という。また、回帰分析のうち（ア）が1つの分析を（ウ）、（ア）が複数の分析を（エ）という。",単回帰分析,独回帰分析,重回帰分析,複回帰分析,1,"選択肢1が正解です。
単回帰分析とは、1つの説明変数で1つの目的変数を予測する分析手法のことを言います。

選択肢2：独回帰分析という用語はありません。よって答えではありません。
選択肢3：重回帰分析とは、複数の説明変数で1つの目的変数を予測する分析手法のことを言います。
選択肢4：複回帰分析という用語はありません。よって答えではありません。"
82,機械学習の具体的手法,"（エ）に最もよく当てはまる選択肢を選んでください。
求めたい変数を1つ以上の変数を使って予測する手法を線形回帰分析という。線形回帰において、原因となる変数を（ア）、結果となる変数を（イ）という。また、回帰分析のうち（ア）が1つの分析を（ウ）、（ア）が複数の分析を（エ）という。",単回帰分析,独回帰分析,重回帰分析,複回帰分析,3,"選択肢3が正解です。
重回帰分析とは、複数の説明変数で1つの目的変数を予測する分析手法のことを言います。

選択肢1：単回帰分析とは、1つの説明変数で1つの目的変数を予測する分析手法のことを言います。
選択肢2：独回帰分析という用語はありません。よって答えではありません。
選択肢4：複回帰分析という用語はありません。よって答えではありません。"
83,ディープラーニングの概要,"（ア）に最もよく当てはまる選択肢を選んでください。
活性化関数には、0以下の時は0、0以上のときは入力値をそのまま出力する（ア）などがある。また、（ア）を改良した（イ）や（ウ）なども存在する。（イ）は、入力値が0以下の場合は入力値をα倍した値を出力し、入力値が0を超える場合は入力値と同じ値を出力する関数である。また、αは範囲内の値がランダムに選ばれる。（ウ）は、入力値が0以下の場合は入力値をα倍した値を出力し、入力値が0を超える場合は入力値と同じ値を出力する関数である。αはパラメータであり、学習によって決まる。",Parametric ReLU関数,Randomized ReLU関数,ReLU関数,tanh関数,3,"選択肢3が正解です。
ReLu関数とは、活性化関数の1種で、入力値が0以下のときは0、入力値が0を超えるときは入力値をそのまま出力する関数のことです。ReLu関数を使用することで、勾配が消失しにくくなるという特徴があります。

選択肢1：Parametric ReLU関数とは、活性化関数の1種で、入力値が0以下の場合は入力値をα倍した値を出力し、入力値が0を超える場合は入力値と同じ値を出力します。αはパラメータであり、学習によって決まります。
選択肢2：Randomized ReLU関数とは、活性化関数の1種で、入力値が0以下の場合は入力値をα倍した値を出力し、入力値が0を超える場合は入力値と同じ値を出力します。αは範囲内の値がランダムに選ばれます。
選択肢4：tanh関数（ハイパボリックタンジェント関数）とは、活性化関数の1種で、-1から1の値を出力する関数のことです。また、tanh関数は、シグモイド関数を線形変形した関数であり、隠れ層の活性化関数をシグモイド関数からtanh関数に変更することで勾配消失問題が緩和されます。"
84,ディープラーニングの概要,"（イ）に最もよく当てはまる選択肢を選んでください。
活性化関数には、0以下の時は0、0以上のときは入力値をそのまま出力する（ア）などがある。また、（ア）を改良した（イ）や（ウ）なども存在する。（イ）は、入力値が0以下の場合は入力値をα倍した値を出力し、入力値が0を超える場合は入力値と同じ値を出力する関数である。また、αは範囲内の値がランダムに選ばれる。（ウ）は、入力値が0以下の場合は入力値をα倍した値を出力し、入力値が0を超える場合は入力値と同じ値を出力する関数である。αはパラメータであり、学習によって決まる。",Parametric ReLU関数,Randomized ReLU関数,ReLU関数,tanh関数,2,"選択肢2が正解です。
Randomized ReLU関数とは、活性化関数の1種で、入力値が0以下の場合は入力値をα倍した値を出力し、入力値が0を超える場合は入力値と同じ値を出力します。αは範囲内の値がランダムに選ばれます。

選択肢1：Parametric ReLU関数とは、活性化関数の1種で、入力値が0以下の場合は入力値をα倍した値を出力し、入力値が0を超える場合は入力値と同じ値を出力します。αはパラメータであり、学習によって決まります。
選択肢3：ReLu関数とは、活性化関数の1種で、入力値が0以下のときは0、入力値が0を超えるときは入力値をそのまま出力する関数のことです。ReLu関数を使用することで、勾配が消失しにくくなるという特徴があります。
選択肢4：tanh関数（ハイパボリックタンジェント関数）とは、活性化関数の1種で、-1から1の値を出力する関数のことです。また、tanh関数は、シグモイド関数を線形変形した関数であり、隠れ層の活性化関数をシグモイド関数からtanh関数に変更することで勾配消失問題が緩和されます。"
85,ディープラーニングの概要,"（ウ）に最もよく当てはまる選択肢を選んでください。
活性化関数には、0以下の時は0、0以上のときは入力値をそのまま出力する（ア）などがある。また、（ア）を改良した（イ）や（ウ）なども存在する。（イ）は、入力値が0以下の場合は入力値をα倍した値を出力し、入力値が0を超える場合は入力値と同じ値を出力する関数である。また、αは範囲内の値がランダムに選ばれる。（ウ）は、入力値が0以下の場合は入力値をα倍した値を出力し、入力値が0を超える場合は入力値と同じ値を出力する関数である。αはパラメータであり、学習によって決まる。",Parametric ReLU関数,Randomized ReLU関数,ReLU関数,tanh関数,1,"選択肢1が正解です。
Parametric ReLU関数とは、活性化関数の1種で、入力値が0以下の場合は入力値をα倍した値を出力し、入力値が0を超える場合は入力値と同じ値を出力します。αはパラメータであり、学習によって決まります。

選択肢2：Randomized ReLU関数とは、活性化関数の1種で、入力値が0以下の場合は入力値をα倍した値を出力し、入力値が0を超える場合は入力値と同じ値を出力します。αは範囲内の値がランダムに選ばれます。
選択肢3：ReLu関数とは、活性化関数の1種で、入力値が0以下のときは0、入力値が0を超えるときは入力値をそのまま出力する関数のことです。ReLu関数を使用することで、勾配が消失しにくくなるという特徴があります。
選択肢4：tanh関数（ハイパボリックタンジェント関数）とは、活性化関数の1種で、-1から1の値を出力する関数のことです。また、tanh関数は、シグモイド関数を線形変形した関数であり、隠れ層の活性化関数をシグモイド関数からtanh関数に変更することで勾配消失問題が緩和されます。"
86,ディープラーニングの概要,"（ア）に最もよく当てはまる選択肢を選んでください。
（ア）とは鞍点問題に対応するために考えられた手法で、慣性の考え方を取り入れ、前回の更新量を、現在の更新量に反映させ、学習の停滞を防ぐ。",多次元尺度構成法,k近傍法,モーメンタム法,潜在的ディリクレ配分法,3,"選択肢3が正解です。
モーメンタム法とは、鞍点問題に対応するために考えられた手法で、慣性の考え方を取り入れ、前回の更新量を、現在の更新量に反映させ、学習の停滞を防ぐ手法のことです。

選択肢1：多次元尺度構成法（MDS）とは、次元削減のために用いられる手法のことです。
選択肢2：k近傍法とは、分類に使われる手法の1つで、未知のデータが与えられたときに近くにあるデータをk個取得し、多数決でデータが所属するクラスを分類していく手法のことです。
選択肢4：潜在的ディリクレ配分法（LDA）とは、トピックモデルの代表的な手法の1つです。"
87,ディープラーニングの概要,深層信念ネットワークに関する説明として、最も適切な選択肢を選択してください。,可視層・隠れ層の各ユニットは全て結合している,同じ層のユニットは結合しておらず、可視層と隠れ層のユニットが結合している,計算量が膨大になったため、事前学習が一般的に使われている,ヤン・ルカンによって提唱されたネットワークである,2,"選択肢2が正解です。
深層信念ネットワークでは、制限付きボルツマンマシンを使用しています。制限付きボルツマンマシンとは、制限をかけたボルツマンマシンのことです。特徴として、可視層と隠れ層のユニットは結合していますが、同じ層のユニットは結合していません。

選択肢1：同じ層のユニットは結合しておらず、可視層と隠れ層のユニットが結合しています。そのため、「可視層・隠れ層の各ユニットは全て結合している」は間違いになります。
選択肢3：事前学習は計算量が膨大になるため、現在は各層を一気に学習する手法が使われています。
選択肢4：深層信念ネットワークは「ジェフリー・ヒントン」によって提唱されたネットワークです。"
88,ディープラーニングの概要,"（ア）に最もよく当てはまる選択肢を選んでください。
オートエンコーダの代わりに制限付きボルツマンマシンを積み重ねたものを（ア）という。また、（ア）は（イ）によって提唱された手法である。",ターゲットネットワーク,デュエリングネットワーク,深層信念ネットワーク,畳み込みニューラルネットワーク,3,"選択肢3が正解です。
深層信念ネットワークとは、ジェフリー・ヒントンが提唱したモデルで、オートエンコーダの代わりに制限付きボルツマンマシンを積み重ねたモデルのことです。

選択肢1：ターゲットネットワークとは、DQNにおいて学習の精度を高める方法の1つで、ターゲットになる過去のネットワークを教師のように見立てて学習する手法のことです。
選択肢2：デュエリングネットワークとは、強化学習のネットワークを改良したもので、行動価値関数や状態価値関数などを活用したモデルのことです。Q値を状態価値と行動のアドバンテージ価値の2つに分けて学習していきます。
選択肢4：畳み込みニューラルネットワークとは、画像認識の分野に特化したニューラルネットワークのことで、CNNとも呼ばれています。また、OCR、パターン認識など幅広い分野で使用されています。"
