,単元,問題文,選択肢1,選択肢2,選択肢3,選択肢4,解答,解説
45,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
方策には、（ア）や（イ）などがある。（ア）は、基本的に既存情報を使って最適な行動を行うが、一定確率で探索を行う方策である。（イ）は探索時にあまり選択されていない行動を優先的に選ぶ方策である。",t-SNE方策,ε-greedy方策,方策勾配法,UCB方策,2,"選択肢2が正解です。
ε-greedy方策とは、基本的には既存情報を使って最適な行動を行うが、確率εで探索をする方策のことです。

選択肢1：t-SNE方策という用語はありません。
選択肢3：方策勾配法とは、エージェントの方策を、パラメータを持った関数と定義し、方策の価値が最大になるようにパラメータを学習させる手法のことを言います
選択肢4：UCB方策とは、探索時にあまり選択されていない行動を優先的に選ぶという方策のことです。"
46,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
方策には、（ア）や（イ）などがある。（ア）は、基本的に既存情報を使って最適な行動を行うが、一定確率で探索を行う方策である。（イ）は探索時にあまり選択されていない行動を優先的に選ぶ方策である。",t-SNE方策,ε-greedy方策,方策勾配法,UCB方策,4,"選択肢4が正解です。
UCB方策とは、探索時にあまり選択されていない行動を優先的に選ぶという方策のことです。

選択肢1：t-SNE方策という用語はありません。
選択肢2：ε-greedy方策とは、基本的には既存情報を使って最適な行動を行うが、確率εで探索をする方策のことです。
選択肢3：方策勾配法とは、エージェントの方策を、パラメータを持った関数と定義し、方策の価値が最大になるようにパラメータを学習させる手法のことを言います"
47,機械学習の具体的手法,強化学習に関する説明として、最も適切な選択肢を選択してください。,短期的な報酬をもとに行動を決定している,各行動に対して報酬がなけれれば学習できない,Q学習を使用すれば最適な方策を見つけることは容易である,モンテカルロ法を使用して価値を更新していく手法がある,4,"選択肢4が正解です。
強化学習には、モンテカルロ法を使用して価値を更新していく手法があります。また、モンテカルロ法とは、何度もシミュレーションを行ったり、乱数を使用したりして、近似的な答えを導き出す手法のことです。

選択肢1：「短期的な報酬」だけではなく、一連の行動の結果得られる報酬が最大になるように行動を決定していきます。
選択肢2：各行動に対して報酬がなくても学習することはできます。例えば、囲碁や将棋などは各手ごとに報酬はありませんが、強化学習を行うことができます。
選択肢3：Q学習においても、行動の選択肢が多い場面などは最適な方策を見つけることは困難です。"
48,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
訓練データ・検証データにテストデータにすべき未知のデータが入ってしまうことを（ア）という。",メタデータ,データリーケージ,ビッグデータ,ランダムサーチ,2,"選択肢2が正解です。
データリーケージとは、訓練データ・検証データにテストデータにすべき未知のデータ（本来得られるはずのないデータ）が入ってしまうことを言います。

選択肢1：メタデータとは、データの情報が記述されたデータのことを言います。例えば、「太宰治」に対して「著者」というデータを付与されている場合、「著者」がメタデータになります。
選択肢3：ビッグデータとは、様々な形式の大量のデータのことです。一般的に、ビッグデータは、量・速度・多様性の特性を持っています。
選択肢4：ランダムサーチとは、ハイパーパラメータの調整方法の1種で、ランダムにパラメータを組み合わせ学習を行い、最適な組み合わせを採用する手法です。"
49,機械学習の具体的手法,交差検証に関する説明として、最も不適切な選択肢を選択してください。,ホールドアウト検証はデータが少ない場合にモデルの評価が高くなってしまうことがある,交差検証は汎用性が低く限られた場所でしか使うことができない,k-分割交差検証はデータ数が少ないときに有効である,k-分割交差検証は計算コストが高くなってしまう,2,"選択肢2が正解です。
交差検証は汎用性が「高い」ため、多くのモデルで実施される手法です。そのため、「交差検証は汎用性が低く限られた場所でしか使うことができない」は間違いです。

選択肢1：正しい説明です。ホールドアウト検証はデータが少ない場合にモデルの評価が高くなってしまう可能性があります。
選択肢3：正しい説明です。k-分割交差検証はデータ数が少ないときに使われる手法の1つです。
選択肢4：正しい説明です。k-分割交差検証は、学習回数が増えるため、計算コストが高くなってしまうという特徴があります。"
50,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
線形回帰にL1正則化を適用したものを（ア）、線形回帰にL2正則化を適用したものを（イ）という。",リッジ回帰,ロジスティック回帰,ラッソ回帰,ロッソ回帰,3,"選択肢3が正解です。
ラッソ回帰とは、線形回帰にL1正則化を適用したものを言います。L1正則化とは、重要度の低い説明変数（重み）を取り除くことを目的とした手法です。つまり、重要度の低いパラメータを0にし、重要度の高いパラメータを残す（特徴選択）ことを意味します。

選択肢1：リッジ回帰とは、線形回帰にL2正則化を適用したものを言います。L2正則化とは、パラメータ（重み）が大きくなりすぎないように、パラメータ（重み）の大きさに応じて0に近づけ、モデルを滑らかにすることを目的とした手法です。
選択肢2：ロジスティック回帰とは、複数の説明変数から、ある事象が発生する確率を予測する手法のことを言います。例えば、病院で検査を受けた結果、再検査が必要かどうかなど、ある事象が発生する確率を予測するときに使われる手法です。
選択肢4：ロッソ回帰という用語はありません。"
51,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
線形回帰にL1正則化を適用したものを（ア）、線形回帰にL2正則化を適用したものを（イ）という。",リッジ回帰,ロジスティック回帰,ラッソ回帰,ロッソ回帰,1,"選択肢1が正解です。
リッジ回帰とは、線形回帰にL2正則化を適用したものを言います。L2正則化とは、パラメータ（重み）が大きくなりすぎないように、パラメータ（重み）の大きさに応じて0に近づけ、モデルを滑らかにすることを目的とした手法です。

選択肢2：ロジスティック回帰とは、複数の説明変数から、ある事象が発生する確率を予測する手法のことを言います。例えば、病院で検査を受けた結果、再検査が必要かどうかなど、ある事象が発生する確率を予測するときに使われる手法です。
選択肢3：ラッソ回帰とは、線形回帰にL1正則化を適用したものを言います。L1正則化とは、重要度の低い説明変数（重み）を取り除くことを目的とした手法です。つまり、重要度の低いパラメータを0にし、重要度の高いパラメータを残す（特徴選択）ことを意味します。
選択肢4：ロッソ回帰という用語はありません。"
52,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
協調フィルタリングは、ユーザーに商品などをオススメするために事前にある程度のデータ量が必要になる。そのため、データ量が少ない場合、ユーザーにとって適切な情報を提示できないという問題が起きる。このような問題を（ア）という。一方、商品の特徴を利用して類似した商品をユーザーにオススメする方法である（イ）は、（ア）を回避することができる。",ノーフリーランチ定理,フレーム問題,シンボルグラウンディング問題,コールドスタート問題,4,"選択肢4が正解です。
コールドスタート問題とは、協調フィルタリングにおける問題の1つで、データ量が少ない場合、ユーザーにとって適切な情報を提示できないという問題のことです。

選択肢1：ノーフリーランチ定理とは、あらゆる問題を効率的に解ける汎用的なアルゴリズムはないことを意味します。一方、ジェフリー・ヒントンは早期終了を「Beautiful FREE LUNCH（素晴らしいフリーランチ）」と表現しています。
選択肢2：フレーム問題とは、処理能力が限られている人工知能では、現実に起こりうる全ての問題に対応することができないという問題のことです。フレーム問題は、人工知能における解決するべき重要な問題の1つです。
選択肢3：シンボルグラウンディング問題とは、コンピュータがシンボル（記号）を現実世界の意味とどのように結びつけるかという問題のことを言います。例えば、人間の場合は、「ウマ」と「縞模様」を知っていれば、「シマウマ」を知らなくても、縞模様をもつウマであることを想像することができます。一方、人工知能は「ウマ」と「縞模様」の用語を学習していても、用語を本質的に理解していないので、両者を結びつけて「シマウマ」を想像することができません。シンボルグラウンディング問題は、認知科学者のスティーブン・ハルナッドにより議論されたものです。"
53,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
協調フィルタリングは、ユーザーに商品などをオススメするために事前にある程度のデータ量が必要になる。そのため、データ量が少ない場合、ユーザーにとって適切な情報を提示できないという問題が起きる。このような問題を（ア）という。一方、商品の特徴を利用して類似した商品をユーザーにオススメする方法である（イ）は、（ア）を回避することができる。",アンダーサンプリング,コンテンツベースフィルタリング,ドロップアウト,一気通貫学習,2,"選択肢2が正解です。
コンテンツベースフィルタリングとは、商品などの特徴を活用して類似した商品をユーザに提示する手法のことを言います。

選択肢1：アンダーサンプリング（ダウンサンプリング）とは、データに偏りがあるときに、多いデータのカテゴリに対してデータを減らす手法のことです。
選択肢3：ドロップアウトとは、過学習対策の1つで、学習させるときにランダムにユニットを無効化させることで過学習を防ぎます。
選択肢4：一気通貫学習とは、ロボットの一連の動作を1つのディープラーニングネットワークで実現する学習方法のことです。"
54,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
ツリーによってデータを分析する手法のことを（ア）という。（ア）には、回帰で使われる（イ）と分類で使われる（ウ）がある。",デンドログラム,決定木,ロジスティック回帰,k-means法,2,"選択肢2が正解です。
決定木とは、ツリー（樹形図）によってデータを分析する手法のことです。条件に合わせて分岐路を作るためツリー状になります。また、分類で使われる決定木を分類木、回帰で使われる決定木を回帰木と言います。

選択肢1：デンドログラムとは、クラスタリング（クラスター分析）において各個体がクラスターにまとめられていく様子を樹形図の形で表したものです。
選択肢3：ロジスティック回帰とは、複数の説明変数から、ある事象が発生する確率を予測する手法のことを言います。例えば、病院で検査を受けた結果、再検査が必要かどうかなど、ある事象が発生する確率を予測するときに使われる手法です。
選択肢4：k-means法とは、教師なし学習の1種で、重心を活用し、データをあらかじめ設定したクラスタの数（k個）に分類する手法のことです。"
55,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
ツリーによってデータを分析する手法のことを（ア）という。（ア）には、回帰で使われる（イ）と分類で使われる（ウ）がある。",回帰木,決定回帰木,回帰決定木,限定回帰木,1,"選択肢1が正解です。
回帰木とは、回帰で使われる決定木のことを言います。

選択肢2：「決定回帰木」という用語はありません。
選択肢3：「回帰決定木」という用語はありません。
選択肢4：「限定回帰木」という用語はありません。"
56,機械学習の具体的手法,"（ウ）に最もよく当てはまる選択肢を選んでください。
ツリーによってデータを分析する手法のことを（ア）という。（ア）には、回帰で使われる（イ）と分類で使われる（ウ）がある。",分類木,決定分類木,分類決定木,限定分類木,1,"選択肢1が正解です。
分類木とは、分類で使われる決定木のことを言います。

選択肢2：「決定分類木」という用語はありません。
選択肢3：「分類決定木」という用語はありません。
選択肢4：「限定分類木」という用語はありません。"
57,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
回帰モデルの精度の評価指標として（ア）や（イ）がある。（ア）は、誤差の絶対値の平均のことである。（イ）は、相関係数を2乗することで求めることができる。また、（イ）の取りうる範囲は（ウ）である。",MAE,MSE,RMSE,決定係数,1,"選択肢1が正解です。
MAEとは、回帰モデルの精度の評価指標の1つで、誤差の絶対値の平均のことです。

選択肢2：MSEとは、回帰モデルの精度の評価指標の1つで、実際の値と予測値の誤差の2乗の平均のことです。また、平均二乗誤差とも呼ばれています。
選択肢3：RMSEとは、回帰モデルの精度の評価指標の1つで、MSE（平均二乗誤差）の平方根で求めることができます。
選択肢4：決定係数とは、説明変数が目的変数をどの程度説明できているかを表す指標の1つで、相関係数を2乗することで求めることができます。また、決定係数の取りうる範囲は0〜1です。"
58,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
回帰モデルの精度の評価指標として（ア）や（イ）がある。（ア）は、誤差の絶対値の平均のことである。（イ）は、相関係数を2乗することで求めることができる。また、（イ）の取りうる範囲は（ウ）である。",MAE,MSE,RMSE,決定係数,4,"選択肢4が正解です。
決定係数とは、説明変数が目的変数をどの程度説明できているかを表す指標の1つで、相関係数を2乗することで求めることができます。また、決定係数の取りうる範囲は0〜1です。

選択肢1：MAEとは、回帰モデルの精度の評価指標の1つで、誤差の絶対値の平均のことです。
選択肢2：MSEとは、回帰モデルの精度の評価指標の1つで、実際の値と予測値の誤差の2乗の平均のことです。また、平均二乗誤差とも呼ばれています。
選択肢3：RMSEとは、回帰モデルの精度の評価指標の1つで、MSE（平均二乗誤差）の平方根で求めることができます。"
59,機械学習の具体的手法,"（ウ）に最もよく当てはまる選択肢を選んでください。
回帰モデルの精度の評価指標として（ア）や（イ）がある。（ア）は、誤差の絶対値の平均のことである。（イ）は、相関係数を2乗することで求めることができる。また、（イ）の取りうる範囲は（ウ）である。",−1〜1,−1〜0,0〜1,全ての実数,3,"選択肢3が正解です。
相関係数の取りうる範囲は「-1〜1」です。そのため、相関係数を2乗して求めることができる決定係数の取りうる範囲は「0〜1」です。よって選択肢3が正解になります。"
60,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
単純パーセプトロンは（ア）は可能だが、（イ）はできない。一方、多層パーセプトロンは（イ）も可能である。",データマイニング,ウェブマイニング,線形分類,非線形分類,3,"選択肢3が正解です。
線形分類とは、2つの集合が二次元平面上にあるとき、それらの集合を1本の直線で分類できることです。

選択肢1：データマイニングとは、膨大なデータ（ビッグデータ）を分析して、有益な情報を抽出する手法のことを言います。
選択肢2：ウェブマイニングとは、ウェブ上にある膨大なデータを分析して有益な情報を取り出す手法のことです。
選択肢4：非線形分類とは、複数の集合が二次元平面上にあるとき、それらの集合を曲線などを使って分類することです。"
61,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
単純パーセプトロンは（ア）は可能だが、（イ）はできない。一方、多層パーセプトロンは（イ）も可能である。",データマイニング,ウェブマイニング,線形分類,非線形分類,4,"選択肢4が正解です。
非線形分類とは、複数の集合が二次元平面上にあるとき、それらの集合を曲線などを使って分類することです。

選択肢1：データマイニングとは、膨大なデータ（ビッグデータ）を分析して、有益な情報を抽出する手法のことを言います。
選択肢2：ウェブマイニングとは、ウェブ上にある膨大なデータを分析して有益な情報を取り出す手法のことです。
選択肢3：線形分類とは、2つの集合が二次元平面上にあるとき、それらの集合を1本の直線で分類できることです。"
62,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
強化学習において、与えられた環境に対する行動の開始から終了までの1回分の試行を（ア）という。また、強化学習では報酬和を計算するとき、（イ）というパラメータを使用して未来の報酬を現在価値に換算して計算していく。",エピソード,方策,復元抽出,エントロピー,1,"選択肢1が正解です。
エピソードとは、強化学習において、与えられた環境に対する行動の開始から終了までの1回分の試行のことをいいます。

選択肢2：方策とは、エージェントの行動基準のことを言います。方策には、ε-greedy方策やUCB方策などがあります。
選択肢3：復元抽出とは、サンプルを抽出するとき、一度サンプルを抽出したら元に戻してから、次のサンプルを抽出する方法のことです。
選択肢4：エントロピーとは、乱雑な状態の度合いを表す用語で、不純度の指標などで使われる概念です。"
63,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
強化学習において、与えられた環境に対する行動の開始から終了までの1回分の試行を（ア）という。また、強化学習では報酬和を計算するとき、（イ）というパラメータを使用して未来の報酬を現在価値に換算して計算していく。",割引率,学習率,再現率,適合率,1,"選択肢1が正解です。
割引率とは、強化学習において報酬和を計算するとき、不確実な未来の報酬を割り引くために使用されるパラメータのことをいいます。

選択肢2：学習率とは、重みなどパラメータを調整する設定値のことを言います。学習率は、大きすぎても、小さすぎてもよくなく、専門家が設定をします。
選択肢3：再現率とは、分類モデルの評価指標の1つで、陽性データの中で、正しく陽性と判断できた割合のことです。再現率は、正しく陽性と判断した数を実際の陽性の数で割ることを求めることができます。
選択肢4：適合率とは、分類モデルの評価指標の1つで、陽性と判断したデータのうち実際に陽性だった割合のことです。適合率は、正しく陽性と判断した数を陽性と判断した陽性の数で割ることで求めることができます"
64,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
ある事象が起きる確率をpとしたとき、確率pの取り得る範囲は（ア）である。よって、p /（ 1 –  p ）の取り得る範囲は（イ）であり、対数オッズであるlog（ p /（ 1 –  p ））の取り得る範囲は（ウ）である。",0以上1以下,0以上,0未満,全ての実数,1,"選択肢1が正解です。
一般に確率の取り得る範囲は「0以上1以下」です。よって、選択肢1が正解です。"
65,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
ある事象が起きる確率をpとしたとき、確率pの取り得る範囲は（ア）である。よって、p /（ 1 –  p ）の取り得る範囲は（イ）であり、対数オッズであるlog（ p /（ 1 –  p ））の取り得る範囲は（ウ）である。",0〜∞,0〜1,-∞〜0,-∞〜∞,1,"選択肢1が正解です。
確率pが取り得る範囲は0〜1です。pが0のとき、p /（ 1 –  p ）にp = 0を代入すると、「0 /（ 1 –  0 ）」から値は0になります。また、pが0.9のとき、p /（ 1 –  p ）にp = 0.9を代入すると、「0.9 /（ 1 –  0.9 ）」から値は9になります。pの値を1に近づけていくと、p /（ 1 –  p ）の値は大きくなっていき、最終的には∞に収束します。よって、p /（ 1 –  p ）の取り得る範囲は「0〜∞」になります。"
66,機械学習の具体的手法,"（ウ）に最もよく当てはまる選択肢を選んでください。
ある事象が起きる確率をpとしたとき、確率pの取り得る範囲は（ア）である。よって、p /（ 1 –  p ）の取り得る範囲は（イ）であり、対数オッズであるlog（ p /（ 1 –  p ））の取り得る範囲は（ウ）である。",0〜∞,0〜1,-∞〜0,-∞〜∞,4,"選択肢4が正解です。
対数オッズとは、ある確率をpとしたとき、log（ p /（ 1 – p ））で求めることができる値のことです。また、logの底はネイピア数です。

確率pが取り得る範囲は0〜1です。pが0.1のとき、log（ p /（ 1 –  p ））にp = 0.1を代入すると、「log（ 0.1 /（ 1 –  0.1 ））」から「log（ 0.1 / 0.9 ）」になり、値は約-2.2になります。pの値が小さくなればなるほど、log（ p /（ 1 –  p ））の値は小さくなり、最終的には-∞に収束します。
また、pが0.9のとき、log（ p /（ 1 –  p ））にp = 0.9を代入すると、「log（ 0.9 /（ 1 –  0.9 ））」から「log（ 9 ）」になり、値は約2.2になります。pの値が大きくなればなるほど、log（ p /（ 1 –  p ））の値は大きくなり、最終的には∞に収束します。よって、log（ p /（ 1 –  p ））の取り得る範囲は「-∞〜∞」になります。"
67,機械学習の具体的手法,分類モデルの評価に関する説明として、最も適切な選択肢を選択してください。,混同行列は多クラス分類では使うことができない,MSEは主に分類モデルの精度を評価するときに使用される,正解率が高くても、モデルの精度が低い可能性は存在する,適合率、再現率がともに0.9のときF値は0.45である,3,"選択肢3が正解です。
正解率が高くても、モデルの精度が低い可能性は存在します。例えば、製造した製品1万個に対して1個の割合で欠陥が発生するとします。そこで、AIを使って欠陥を発見するシステムを作ることになりました。そのAIを動かしてみると、正解率は99.99%でした。しかし、実際は欠陥を含めて全て正常であると判断しており、求めているAIではありませんでした。このように、正解率が高くても、モデルの精度が低い可能性は存在します。

選択肢1：混同行列は多クラス分類のときにも使うことができます。
選択肢2：MSEは主に回帰モデルの精度を評価するときに使用されます。
選択肢4：F値は、「（ 2 × 適合率 × 再現率）÷（適合率＋再現率）」で求めることができます。よって、「（ 2 × 0.9 × 0.9 ）÷（ 0.9 ＋ 0.9 ）」からF値は「0.9」になります。"
68,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
二値分類などの結果をまとめた表のことを（ア）という。",デンドログラム,混同行列,SMOTE,フォルマント,2,"選択肢2が正解です。
混同行列とは、二値分類などの結果をまとめた表のことです。

選択肢1：デンドログラムとは、クラスタリング（クラスター分析）において各個体がクラスターにまとめられていく様子を樹形図の形で表したものです。
選択肢3：SMOTEとは、オーバーサンプリングの代表的な手法の1つで、データに偏りがあるときに、少ないデータのカテゴリに対して水増しを行います。
選択肢4：フォルマントとは、音声の周波数スペクトルに現れる周囲よりも強度が大きい周波数帯域のことをいいます。"
69,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
未知のデータに対する精度のことを（ア）という。精度は、汎化誤差で測る。また、汎化誤差は（イ）、（ウ）、（エ）の要素に分解できる。（イ）とは、予測モデルが単純すぎるために発生する誤差のことであり、（ウ）とは、予測モデルが複雑すぎるために発生する誤差のことであり、（エ）とは減らすことができない実際の値と予測値との誤差のことである。",汎化精度,汎化性能,訓練精度,訓練性能,2,"選択肢2が正解です。
汎化性能とは、未知のデータに対する予測精度のことを言います。学習に使っていないデータに対する予測と正解の誤差である汎化誤差を使用して精度を測っていきます。

選択肢1：人工知能分野において、汎化精度という用語はありません。
選択肢3：人工知能分野において、訓練精度という用語はありません。
選択肢4：人工知能分野において、訓練性能という用語はありません。"
70,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
未知のデータに対する精度のことを（ア）という。精度は、汎化誤差で測る。また、汎化誤差は（イ）、（ウ）、（エ）の要素に分解できる。（イ）とは、予測モデルが単純すぎるために発生する誤差のことであり、（ウ）とは、予測モデルが複雑すぎるために発生する誤差のことであり、（エ）とは減らすことができない実際の値と予測値との誤差のことである。",ノイズ,バリアンス,ストライド,バイアス,4,"選択肢4が正解です。
バイアスとは、予測モデルが単純すぎるために発生する誤差のことです。

選択肢1：ノイズとは、減らすことができない実際の値と予測値との誤差のことです。
選択肢2：バリアンスとは、予測モデルが複雑すぎるために発生する誤差のことです。
選択肢3：ストライドとは、カーネルをスライド（移動）させる幅のことを言います。"
71,機械学習の具体的手法,"（ウ）に最もよく当てはまる選択肢を選んでください。
未知のデータに対する精度のことを（ア）という。精度は、汎化誤差で測る。また、汎化誤差は（イ）、（ウ）、（エ）の要素に分解できる。（イ）とは、予測モデルが単純すぎるために発生する誤差のことであり、（ウ）とは、予測モデルが複雑すぎるために発生する誤差のことであり、（エ）とは減らすことができない実際の値と予測値との誤差のことである。",ノイズ,バリアンス,ストライド,バイアス,2,"選択肢2が正解です。
バリアンスとは、予測モデルが複雑すぎるために発生する誤差のことです。

選択肢1：ノイズとは、減らすことができない実際の値と予測値との誤差のことです。
選択肢3：ストライドとは、カーネルをスライド（移動）させる幅のことを言います。
選択肢4：バイアスとは、予測モデルが単純すぎるために発生する誤差のことです。"
72,機械学習の具体的手法,"（エ）に最もよく当てはまる選択肢を選んでください。
未知のデータに対する精度のことを（ア）という。精度は、汎化誤差で測る。また、汎化誤差は（イ）、（ウ）、（エ）の要素に分解できる。（イ）とは、予測モデルが単純すぎるために発生する誤差のことであり、（ウ）とは、予測モデルが複雑すぎるために発生する誤差のことであり、（エ）とは減らすことができない実際の値と予測値との誤差のことである。",ノイズ,バリアンス,ストライド,バイアス,1,"選択肢1が正解です。
ノイズとは、減らすことができない実際の値と予測値との誤差のことです。

選択肢2：バリアンスとは、予測モデルが複雑すぎるために発生する誤差のことです。
選択肢3：ストライドとは、カーネルをスライド（移動）させる幅のことを言います。
選択肢4：バイアスとは、予測モデルが単純すぎるために発生する誤差のことです。"
73,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
重回帰分析では、（ア）に注意する必要がある。（ア）とは、重回帰モデルにおいて、相関係数の高い説明変数の組み合わせが存在することである。また、相関係数とは（イ）を表す値であり、絶対値は常に（ウ）である。",情報利得,多重共線性,再現率,局所表現,2,"選択肢2が正解です。
多重共線性とは、重回帰モデルにおいて、相関係数の高い説明変数の組み合わせが存在することです。重回帰分析などを行うときに、多重共線性が存在することで、計算が不安定になってしまうという特徴があります。

選択肢1：情報利得とは、親ノードの不純度と子ノードの不純度の差のことを言います。決定木では、情報利得が最大になるように、データを分割していきます。
選択肢3：再現率とは、分類モデルの評価指標の1つで、陽性データの中で、正しく陽性と判断できた割合のことです。再現率は、正しく陽性と判断した数を実際の陽性の数で割ることを求めることができます。
選択肢4：局所表現とは、1つの概念をワンホットベクトル（1つの値が1、他の値が0になっているベクトル）で表すような表現方法のことを言います。"
74,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
重回帰分析では、（ア）に注意する必要がある。（ア）とは、重回帰モデルにおいて、相関係数の高い説明変数の組み合わせが存在することである。また、相関係数とは（イ）を表す値であり、絶対値は常に（ウ）である。",関係の強弱,関係の傾き度合い,正負の関係,関係の強弱と正負の関係,4,"選択肢4が正解です。
相関係数は、「関係の強弱と正負の関係」を表す値で、−1から1の値を取ります。値が0より大きければ正の相関、0より小さければ負の相関です。また、相関係数の絶対値が1に近ければ近いほど、相関は強くなります。一方、相関係数の絶対値が0に近ければ近いほど、相関は弱いです。"
75,機械学習の具体的手法,"（ウ）に最もよく当てはまる選択肢を選んでください。
重回帰分析では、（ア）に注意する必要がある。（ア）とは、重回帰モデルにおいて、相関係数の高い説明変数の組み合わせが存在することである。また、相関係数とは（イ）を表す値であり、絶対値は常に（ウ）である。",1より大きい値,0以上1以下,1未満,0以上,2,"選択肢2が正解です。
相関係数は、関係の強弱と正負の関係を表す値で、「−1から1」の値を取ります。以上から相関係数の絶対値は、常に0以上1以下になります。"
76,機械学習の具体的手法,教師なし学習のクラスタリングに関する例として、最も適切な選択肢を選択してください。,顧客の購入情報をもとに分析を行った結果、顧客を5グループに分けることができた,気温、曜日などの情報から1日あたりのA店舗の売上を予測した,売上を予測する際に要素（説明変数）が多いため、予測精度が著しく低下しない範囲内で要素を要約した,顧客の商品購入履歴から、ある商品を購入するかどうかを予測する,1,"選択肢1が正解です。
顧客を5つのグループに分けることができたと書かれていることから、クラスタリングの例だと分かります。クラスタリング（クラスタ分析）とは、データを類似度に基づいてグループ（クラスタ）に分けていく手法のことです。

選択肢2：様々な情報から1日あたりのA店舗の売上を予測したと書かれていることから、連続値を予測したことが分かります。データを活用して連続値を予測する問題を回帰問題と言います。
選択肢3：予測精度が著しく低下しない範囲内で要素（説明変数）を要約すると書かれていることから、次元削減の例だと分かります。次元削減（次元圧縮）とは、データの意味を保ったまま、データの特徴量（変数）を減らすことを言います。特徴量を減らすことで、計算量を減らすことができます。
選択肢4：顧客の商品購入履歴に基づきある商品を購入するかどうかを予測することから、クラス（購入するかどうか）を予測する問題だということが分かります。クラスを予測する問題を分類問題といいます。"
77,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
機械学習の手法には、教師データを使って学習を行う（ア）、教師データを使わずに学習を行う（イ）などがある。",教師なし学習,教師あり学習,半教師あり学習,強化学習,2,"選択肢2が正解です。
教師あり学習とは、正解が与えられれたデータをもとに、ルールやパターンを学習していく手法のことで、分類問題や回帰問題を解くときなどによく使われます。

選択肢1：教師なし学習とは、正解が与えられていないデータをもとに、ルールやパターンを学習していく手法のことで、クラスタリングや次元削減（次元圧縮）などでよく使われます。
選択肢3：半教師あり学習とは、教師なし学習と教師あり学習を組み合わせた学習手法のことです。半教師あり学習では、少量のラベル付きデータで学習し、ラベルが付いていない大量のデータで学習することで、ラベル付きデータを集めるコストを下げることができます。
選択肢4：強化学習とは、与えられた環境下で、報酬が最大となる行動を行うように学習していく手法のことを言います。"
78,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
機械学習の手法には、教師データを使って学習を行う（ア）、教師データを使わずに学習を行う（イ）などがある。",教師なし学習,教師あり学習,半教師あり学習,強化学習,1,"選択肢1が正解です。
教師なし学習とは、正解が与えられていないデータをもとに、ルールやパターンを学習していく手法のことで、クラスタリングや次元削減（次元圧縮）などでよく使われます。

選択肢2：教師あり学習とは、正解が与えられれたデータをもとに、ルールやパターンを学習していく手法のことで、分類問題や回帰問題を解くときなどによく使われます。
選択肢3：半教師あり学習とは、教師なし学習と教師あり学習を組み合わせた学習手法のことです。半教師あり学習では、少量のラベル付きデータで学習し、ラベルが付いていない大量のデータで学習することで、ラベル付きデータを集めるコストを下げることができます。
選択肢4：強化学習とは、与えられた環境下で、報酬が最大となる行動を行うように学習していく手法のことを言います。"
79,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
モデルの複雑さと、データとの適合度とのバランスを知るときに使われる指標の1つに（ア）がある。",Rainbow,GPT,RMSprop,AIC,4,"選択肢4が正解です。
AIC（赤池情報量規準）とは、モデルのあてはまり度を表す値のことで、モデルの複雑さと、データとの適合度とのバランスを知るときに使われる指標の1つです。

選択肢1：Rainbowとは、DQNを改良したモデルで、ダブルDQNや優先度付き経験再生など様々な手法を組み合わせた手法です。
選択肢2：GPTとは、OpenAIが開発した自然言語処理モデルで、大規模なコーパスを使用して事前学習・ファインチューニングを行うモデルのことです。
選択肢3：RMSpropとは、AdaGradを改良したアルゴリズムで、局所最適化やプラトーなどを避け、学習の効率を上げることを目的にしています。"
